name,state,state_code
Loras College,Iowa,IA
Lord Fairfax Community College,Virginia,VA
Los Angeles City College,California,CA
Los Angeles County College of Nursing and Allied Health,California,CA
Los Angeles Harbor College,California,CA
Los Angeles Mission College,California,CA
Los Angeles Pierce College,California,CA
Los Angeles Southwest College,California,CA
Los Angeles Trade and Technical College,California,CA
Los Angeles Valley College,California,CA
Los Medanos College,California,CA
Louisburg College,North Carolina,NC
Louisiana College,Louisiana,LA
Louisiana State University and Agricultural and Mechanical College,Louisiana,LA
Louisiana State University at Alexandria,Louisiana,LA
Louisiana State University at Eunice,Louisiana,LA
Louisiana State University Health Sciences Center New Orleans,Louisiana,LA
Louisiana State University in Shreveport,Louisiana,LA
Louisiana Tech University,Louisiana,LA
Lourdes University,Ohio,OH
Lower Columbia College,Washington,WA
Loyola Marymount University,California,CA
Loyola University Chicago,Illinois,IL
Loyola University Maryland,Maryland,MD
Loyola University New Orleans,Louisiana,LA
Lubbock Christian University,Texas,TX
Luna Community College,New Mexico,NM
Lurleen B. Wallace Community College,Alabama,AL
Luther College,Iowa,IA
Luther Rice College and Seminary,Georgia,GA
Luzerne County Community College,Pennsylvania,PA
Lycoming College,Pennsylvania,PA
Lyndon State College,Vermont,VT
Lynn University,Florida,FL
Lyon College,Arkansas,AR
Macalester College,Minnesota,MN
MacCormac College,Illinois,IL
Machzikei Hadath Rabbinical College,New York,NY
MacMurray College,Illinois,IL
Macomb Community College,Michigan,MI
Madison Area Technical College,Wisconsin,WI
Madisonville Community College,Kentucky,KY
Madonna University,Michigan,MI
Maharishi University of Management,Iowa,IA
Maine College of Art,Maine,ME
Maine College of Health Professions,Maine,ME
Maine Maritime Academy,Maine,ME
Malone University,Ohio,OH
Manchester Community College,New Hampshire,NH
Manchester Community College,Connecticut,CT
Manchester University,Indiana,IN
Manhattan Area Technical College,Kansas,KS
Manhattan Christian College,Kansas,KS
Manhattan College,New York,NY
Manhattan School of Music,New York,NY
Manhattanville College,New York,NY
Manor College,Pennsylvania,PA
Mansfield University of Pennsylvania,Pennsylvania,PA
Manthano Christian College,Michigan,MI
Maranatha Baptist University,Wisconsin,WI
Maria College,New York,NY
Marian University,Wisconsin,WI
Marian University,Indiana,IN
Marietta College,Ohio,OH
Marion Military Institute,Alabama,AL
Marion Technical College,Ohio,OH
Marist College,New York,NY
Marlboro College,Vermont,VT
Marquette University,Wisconsin,WI
Mars Hill University,North Carolina,NC
Marshall University,West Virginia,WV
Marshalltown Community College,Iowa,IA
Martin Community College,North Carolina,NC
Martin Luther College,Minnesota,MN
Martin Methodist College,Tennessee,TN
Martin University,Indiana,IN
Mary Baldwin University,Virginia,VA
Marygrove College,Michigan,MI
Maryland Institute College of Art,Maryland,MD
Marylhurst University,Oregon,OR
Marymount California University,California,CA
Marymount Manhattan College,New York,NY
Marymount University,Virginia,VA
Maryville College,Tennessee,TN
Maryville University of Saint Louis,Missouri,MO
Marywood University,Pennsylvania,PA
Massachusetts Bay Community College,Massachusetts,MA
Massachusetts College of Art and Design,Massachusetts,MA
Massachusetts College of Liberal Arts,Massachusetts,MA
Massachusetts Institute of Technology,Massachusetts,MA
Massachusetts Maritime Academy,Massachusetts,MA
Massasoit Community College,Massachusetts,MA
Mayland Community College,North Carolina,NC
Maysville Community and Technical College,Kentucky,KY
Mayville State University,North Dakota,ND
McDaniel College,Maryland,MD
McDowell Technical Community College,North Carolina,NC
McHenry County College,Illinois,IL
McKendree University,Illinois,IL
McLennan Community College,Texas,TX
McMurry University,Texas,TX
McNally Smith College of Music,Minnesota,MN
McNeese State University,Louisiana,LA
McPherson College,Kansas,KS
MCPHS University,Massachusetts,MA
Medaille College,New York,NY
Medaille College: Rochester,New York,NY
Medical University of South Carolina,South Carolina,SC
Memphis College of Art,Tennessee,TN
Mendocino College,California,CA
Menlo College,California,CA
Merced College,California,CA
