year,Team,college,PLAYER,player_height,player_weight,Pos_x,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGMI,FG3MI,FTMI,fg_production,fg3_production,ft_production,ancillary_production,shooting_production,total_production,fg_efficiency,fg3_efficiency,ft_efficiency
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SF,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
2020,New York Knicks,Duke,RJ Barrett,198.12,97.068688,SG,72,2511,467,1060,0.441,124,309,0.401,206,276,0.746,68,346,414,217,53,20,139,188,1264,593,185,70,-252,-183,136,132.35,-299,-166.65,0.44056603773584907,0.40129449838187703,0.7463768115942029
2020,Indiana Pacers,Gonzaga,Domantas Sabonis,210.82,108.86208,PF,62,2231,484,904,0.535,52,162,0.321,240,328,0.732,150,592,742,415,76,33,213,203,1260,420,110,88,128,-174,152,264.6,106,370.6,0.5353982300884956,0.32098765432098764,0.7317073170731707
2020,Los Angeles Clippers,Fresno State,Paul George,203.2,99.79024,SF,54,1821,445,953,0.467,171,416,0.411,198,228,0.868,45,314,359,280,62,24,179,132,1259,508,245,30,-126,-222,168,117.9,-180,-62.099999999999994,0.4669464847848898,0.4110576923076923,0.868421052631579
2020,Utah Jazz,Missouri,Jordan Clarkson,193.04,87.996848,SG,68,1818,457,1075,0.425,208,599,0.347,129,144,0.896,47,227,274,168,61,10,115,110,1251,618,391,15,-322,-549,114,94.75,-757,-662.25,0.42511627906976746,0.34724540901502504,0.8958333333333334
2020,Minnesota Timberwolves,Kentucky,Karl-Anthony Towns,210.82,112.490816,C,50,1689,425,875,0.486,122,315,0.387,267,311,0.859,133,396,529,225,39,57,160,186,1239,450,193,44,-50,-213,223,180.45,-40,140.45,0.4857142857142857,0.3873015873015873,0.8585209003215434
2020,Philadelphia 76ers,Tennessee,Tobias Harris,203.2,102.511792,PF,62,2014,473,924,0.512,82,208,0.394,182,204,0.892,62,357,419,220,55,51,107,119,1210,451,126,22,44,-132,160,168.8,72,240.8,0.5119047619047619,0.3942307692307692,0.8921568627450981
2020,Detroit Pistons,Syracuse,Jerami Grant,203.2,95.25432,SF,54,1829,400,932,0.429,115,329,0.35,290,343,0.845,35,215,250,152,35,58,109,125,1205,532,214,53,-264,-297,237,95.0,-324,-229.0,0.4291845493562232,0.3495440729483283,0.8454810495626822
2020,Memphis Grizzlies,Murray State,Ja Morant,190.5,78.92500799999999,PG,63,2053,430,957,0.449,73,241,0.303,271,372,0.728,59,193,252,465,57,13,203,87,1204,527,168,101,-194,-285,170,123.15,-309,-185.85,0.44932079414838033,0.3029045643153527,0.728494623655914
2020,Miami Heat,Kentucky,Bam Adebayo,205.74,115.66596,C,64,2143,456,800,0.57,2,8,0.25,283,354,0.799,142,431,573,346,75,66,169,145,1197,344,6,71,224,-12,212,244.0,424,668.0,0.57,0.25,0.7994350282485876
